ParentCode;Code;Name;Position;Description
"STO";"059";"STO.059 -  Toni-Sender-Straße 1-37, 41-47";51;"WEZ Toni-Sender-Straße 1-37, 41-47, 65936 Frankfurt am Main"
"STO";"060";"STO.060 -  Werrastr. 36";52;"Werrastraße 34-38, 60486 Frankfurt am Main"
"STO";"061";"STO.061 -  Westring 19";53;"Westring 17-23, 60488 Frankfurt am Main"
"STO";"062";"STO.062 - Rosenweg 1 (Lilienweg 2, Rosenweg 1-3)";54;"WEZ Rosenweg 1 (Lilienweg 2, Rosenweg 1-3), 61381 Friedrichsdorf"
"STO";"063";"STO.063 -  Schützenstraße 31 (29-35)";55;"WEZ Schützenstraße 31 (29-35), 61381 Friedrichsdorf"
"STO";"064";"STO.064 -  Schützenstraße 8 (8-12)";56;"WEZ Schützenstraße 8 (8-12), 61381 Friedrichsdorf"
"STO";"065";"STO.065 - Schwalbachacker 3 (1-11)";57;"WEZ Schwalbachacker 3 (1-11), 35398 Giessen"
"STO";"066";"STO.066 - Schwalbachacker 15 (13-23)";58;"WEZ Schwalbachacker 15 (13-23), 35398 Giessen"
"STO";"067";"STO.067 -  Ottostraße 5a";59;"WEZ Ottostraße 5a (5a+5b+5c), 63450 Hanau"
"STO";"068";"STO.068 - Königsberger Ring 12 (10+12)";60;"WEZ Königsberger Ring 12 (10+12), 65239 Hochheim"
"STO";"069";"STO.069 - Lieselotte-Hermann-Weg 10 (10-12)";61;"WEZ Lieselotte-Hermann-Weg 10 (10-12), 65239 Hochheim"
"STO";"071";"STO.071 - Essener Straße 1 (1+3)";62;"WEZ Essener Straße 1 (1+3), 51145 Köln"
"STO";"072";"STO.072 -  Essener Straße 2 (2+4+6) %";63;"WEZ Essener Straße 2 (2+4+6), 51145 Köln"
"STO";"074";"STO.074 -  Dieselstraße 28 (22-28) %";64;"WEZ Dieselstraße 28 (22-28), 68623 Lampertheim"
"STO";"075";"STO.075 - Europaring 6";65;"WEZ Europaring 6, 68623 Lampertheim"
"STO";"076";"STO.076 -  Finkenstraße 13";66;"Finkenstraße 13, 68623 Lampertheim"
"STO";"077";"STO.077 -  Annastrasse 74 (72-78)";67;"WEZ Annastrasse 74 (72-78), 63225 Langen"
"STO";"078";"STO.078 -  Annastrasse 83 (81, 81a, 83, 83a, 85)";68;"WEZ Annastrasse 83 (81, 81a, 83, 83a, 85), 63225 Langen"
"STO";"079";"STO.079 -  Südliche Ringstraße 225 (223-225) %";69;"WEZ Südliche Ringstraße 225 (223-225), 63225 Langen"
"STO";"080";"STO.080 -  Gerhart-Hauptmann-Straße 4  (2-6)";70;"WEZ Gerhart-Hauptmann-Straße 4 (2-6), 63477 Maintal"
"STO";"081";"STO.081 -  Schillerstraße 6";71;"WEZ Schillerstraße 6, 63477 Maintal-Bischofsheim"
"STO";"083";"STO.083 - Friedrich-Ebert-Straße 4 (4-6)";72;"WEZ Friedrich-Ebert-Straße 4 (4-6), 35039 Marburg"
"STO";"084";"STO.084 - Rimbergstraße 13 (11-15) o";73;"WEZ Rimbergstraße 13 (11-15), 35043 Marburg"
"STO";"085";"STO.085 -  Am Junkerstrauch 15 (13-15) o";74;"WEZ Am Junkerstrauch 15 (13-15), 40667 Meerbusch"
"STO";"086";"STO.086 -  Am Kirchendriesch 13 (11-15)";75;"WEZ Am Kirchendriesch 13 (11-15), 40667 Meerbusch"
"STO";"087";"STO.087 -  Badener Weg 26 o";76;"WEZ Badener Weg 26, 40667 Meerbusch"
"STO";"088";"STO.088 -  Badener Weg 5 o";77;"WEZ Badener Weg 5 , 40667 Meerbusch"
"STO";"091";"STO.091 -  Hoxhof 14 (1-14) o";78;"WEZ Hoxhof 14 (1-14), 40667 Meerbusch"
"STO";"092";"STO.092 -  Im Niederstift 5 (5-9) o";79;"WEZ Im Niederstift 5 (5-9), 40667 Meerbusch"
"STO";"093";"STO.093 -  Unter`m Kurhut 16 (15+16)";80;"WEZ Unter`m Kurhut 16 (15+16), 40667 Meerbusch"
"STO";"094";"STO.094 - Eichendorffweg 3 (1-5) o";81;"WEZ Eichendorffweg 3 (1-5), 61267 Neu-Anspach"
"STO";"095";"STO.095 -  Theodor-Heuss-Straße 7 (5-9)";82;"WEZ Theodor-Heuss-Straße 7 (5-9), 61267 Neu-Anspach"
"STO";"096";"STO.096 - Daimlerstr. 20";83;"WEZ Daimlerstr. 20, 41462 Neuss"
"STO";"097";"STO.097 - Daimlerstr. 22";84;"WEZ Daimlerstr. 22, 41462 Neuss"
"STO";"098";"STO.098 -  Daimlerstr. 24";85;"WEZ Daimlerstr. 24, 41462 Neuss"
"STO";"099";"STO.099 -  Daimlerstr. 26";86;"WEZ Daimlerstr. 26, 41462 Neuss"
"STO";"100";"STO.100 - Markwaldstr. 17 (15-19)";87;"WEZ Markwaldstr. 17 (15-19), 63073 Offenbach - Bieber"
"STO";"101";"STO.101 -  Rumpenheimer Straße 92 (92+94)";88;"WEZ Rumpenheimer Straße 92 (92+94), 63075 Offenbach/M-Bürgel"
"STO";"102";"STO.102 -  Am Römerbrunnen 4 (2-4) %";89;"WEZ Am Römerbrunnen 4 (2-4), 65479 Raunheim"
"STO";"103";"STO.103 - An der Schindhohl 2 (2-6)";90;"WEZ An der Schindhohl 2 (2-6), 65843 Sulzbach"
"STO";"104";"STO.104 - Neugartenstraße 28-28c";91;"WEZ Neugartenstraße 28-28c, 65843 Sulzbach"
